sale_date,gross_sales_amount,return_offset_amount,net_sales_amount,prop_gross_sales_amount,prop_return_offset_amount,prop_net_sales_amount,all_goods_net_sales_amount,flow_sales_related_actual_money,flow_sales_related_cash_money,flow_sales_actual_money,flow_exchange_actual_money,flow_return_actual_money,flow_stored_value_actual_money,gross_sales_qty,return_offset_qty,net_sales_qty,core_order_count,all_goods_order_count,is_trusted_core_sales,cash_scope
2025-04-17,1889.76,-105.76,1784.0,0.0,0.0,0.0,1784.0,1784.0,1784.0,1784.0,0.0,0.0,0.0,24,-1,23,11,11,True,销售/换货/退货现金回款（含道具）
2025-04-18,4212.3,-375.3,3837.0,0.0,0.0,0.0,3837.0,3837.0,3837.0,3772.0,65.0,0.0,0.0,36,-3,33,14,14,True,销售/换货/退货现金回款（含道具）
2025-04-19,4537.0,0.0,4537.0,0.0,0.0,0.0,4537.0,4537.0,4537.0,4537.0,0.0,0.0,0.0,56,0,56,17,17,True,销售/换货/退货现金回款（含道具）
2025-04-20,5218.34,-611.34,4607.0,0.0,0.0,0.0,4607.0,4607.0,4607.0,5034.0,40.0,-467.0,0.0,54,-5,49,18,18,True,销售/换货/退货现金回款（含道具）
2025-04-21,3663.86,-481.7,3182.16,0.0,0.0,0.0,3182.16,3182.16,3182.16,3436.0,0.0,-253.84,0.0,40,-5,35,14,14,True,销售/换货/退货现金回款（含道具）
2025-04-22,1153.5,-208.5,945.0,165.0,0.0,165.0,1110.0,1110.0,1110.0,1110.0,0.0,0.0,0.0,13,-1,12,7,8,True,销售/换货/退货现金回款（含道具）
2025-04-23,3881.62,-1896.62,1985.0,0.0,0.0,0.0,1985.0,1985.0,1985.0,2581.0,0.0,-596.0,0.0,56,-13,43,18,18,True,销售/换货/退货现金回款（含道具）
2025-04-24,1631.02,-48.02,1583.0,0.0,0.0,0.0,1583.0,1583.0,1583.0,1583.0,0.0,0.0,0.0,22,-1,21,11,11,True,销售/换货/退货现金回款（含道具）
2025-04-25,1697.0,0.0,1697.0,0.0,0.0,0.0,1697.0,1697.0,1697.0,1697.0,0.0,0.0,0.0,37,0,37,10,10,True,销售/换货/退货现金回款（含道具）
2025-04-26,4771.69,0.0,4771.69,440.31,0.0,440.31,5212.0,5212.0,5212.0,5212.0,0.0,0.0,0.0,54,0,54,16,17,True,销售/换货/退货现金回款（含道具）
2025-04-27,854.0,0.0,854.0,0.0,0.0,0.0,854.0,854.0,854.0,854.0,0.0,0.0,0.0,19,0,19,8,8,True,销售/换货/退货现金回款（含道具）
2025-04-28,3677.0,0.0,3677.0,0.0,0.0,0.0,3677.0,3677.0,3677.0,3677.0,0.0,0.0,0.0,28,0,28,10,10,True,销售/换货/退货现金回款（含道具）
2025-04-29,1930.78,-76.78,1854.0,0.0,0.0,0.0,1854.0,1854.0,1854.0,1854.0,0.0,0.0,0.0,16,-1,15,9,9,True,销售/换货/退货现金回款（含道具）
2025-04-30,4004.0,-59.0,3945.0,0.0,0.0,0.0,3945.0,3945.0,3945.0,4004.0,0.0,-59.0,0.0,47,-3,44,15,15,True,销售/换货/退货现金回款（含道具）
2025-05-01,3689.0,0.0,3689.0,0.0,0.0,0.0,3689.0,3689.0,3689.0,3689.0,0.0,0.0,0.0,42,0,42,17,17,True,销售/换货/退货现金回款（含道具）
2025-05-02,5209.76,-154.76,5055.0,99.0,0.0,99.0,5154.0,5154.0,5154.0,5154.0,0.0,0.0,0.0,53,-1,52,16,17,True,销售/换货/退货现金回款（含道具）
2025-05-03,2303.0,0.0,2303.0,0.0,0.0,0.0,2303.0,2303.0,2303.0,2303.0,0.0,0.0,0.0,31,0,31,12,12,True,销售/换货/退货现金回款（含道具）
2025-05-04,2627.0,0.0,2627.0,131.0,0.0,131.0,2758.0,2758.0,2758.0,2758.0,0.0,0.0,0.0,31,0,31,12,13,True,销售/换货/退货现金回款（含道具）
2025-05-05,2332.0,0.0,2332.0,0.0,0.0,0.0,2332.0,2332.0,2332.0,2332.0,0.0,0.0,0.0,33,0,33,15,15,True,销售/换货/退货现金回款（含道具）
2025-05-06,1725.0,0.0,1725.0,0.0,0.0,0.0,1725.0,1725.0,1725.0,1725.0,0.0,0.0,0.0,20,0,20,7,7,True,销售/换货/退货现金回款（含道具）
2025-05-07,1131.0,0.0,1131.0,0.0,0.0,0.0,1131.0,1131.0,1131.0,1131.0,0.0,0.0,0.0,14,0,14,8,8,True,销售/换货/退货现金回款（含道具）
2025-05-08,2306.0,-130.0,2176.0,0.0,0.0,0.0,2176.0,2176.0,2176.0,2306.0,0.0,-130.0,0.0,25,-1,24,10,10,True,销售/换货/退货现金回款（含道具）
